City	Abbre	Country	TotalPopulation	Auto	Transit	Walking	Cycling	Population	Ranking_Auto	Ranking_Transit	Ranking_Walking	Ranking_Cycling
Raleigh	RDU	United States	1335079	489859	4371	4300	37690	77	44	98	83	97
												
Goiania	GYN	Brazil	1301592	-	-	8798	76650	78	-	-	50	54
												
Adelaide	ADL	Australia	1295714	234902	33095	6729	85267	79	70	42	62	46
												
Richmond	RIC	United States	1294204	392485	6719	3615	44048	80	55	91	94	88
												
Louisville	SDF	United States	1293953	423448	7263	3236	47502	81	52	86	99	84
												
New Orleans	MSY	United States	1275762	308564	10429	5274	57088	82	65	75	75	72
												
Calgary	YYC	Canada	1241300	207264	23298	-	-	83	73	51	-	-
												
Hartford	BDL	United States	1210259	487649	11300	4944	45444	84	45	70	78	87
												
San Antonio	SAT	United States	1203105	583812	9306	4087	60172	85	35	80	87	68
												
Guarulhos	GUA	Brazil	1202298	-	-	7875	62396	86	-	-	56	66
												
Edmonton	YEG	Canada	1156900	201568	21279	-	-	87	74	53	-	-
												
Birmingham	BHM	United States	1149807	268251	2713	1969	26215	88	68	100	107	102
												
Ottawa_Gatineau	YOW	Canada	1145100	151116	29631	-	-	89	78	44	-	-
												
Buffalo	BUF	United States	1136856	389028	11101	5167	56477	90	56	71	76	74
												
Campinas	VCP	Brazil	1065137	-	-	8661	60132	91	-	-	52	69
												
Sao Luis	SLZ	Brazil	981172	-	-	5757	38236	92	-	-	72	96
												
Wroclaw	WRO	Europe	971244	330210	55659	22613	136140	93	61	26	22	26
												
Sao Goncalo	QSD	Brazil	935758	-	-	4226	31886	94	-	-	85	99
												
Maceio	MCZ	Brazil	917872	-	-	7951	54188	95	-	-	55	76
												
Amsterdam	AMS	Europe	833624	1419003	141369	39996	346991	96	8	10	14	13
												
Duque de Caxias	DDC	Brazil	828198	-	-	5541	28747	97	-	-	74	101
												
Natal	NAT	Brazil	790017	-	-	8862	57158	98	-	-	49	71
												
Campo Grande	CGR	Brazil	779885	-	-	4635	41048	99	-	-	82	93
												
Krakow	KRK	Europe	767348	-	52733	17843	134432	100	-	28	28	28
												
Winnipeg	YWG	Canada	684600	144413	33259	-	-	101	80	41	-	-
												
Rotterdam	RTM	Europe	629606	1238582	83064	27761	243655	102	11	12	17	15
												
The Hague	EHGV	Europe	519988	1042759	99730	29710	231517	103	13	11	16	16
												
Wellington	WLG	New Zealand	471315	111423	42177	15833	78351	104	83	33	30	53
												
Gdansk	GDN	Europe	463754	-	26766	11708	90241	105	-	46	41	41
												
London	YXU	Canada	438200	112571	15061	-	-	106	82	63	-	-
												
Bratislava	BTS	Europe	424428	-	-	22257	73315	107	-		23	58
												
Canberra	CBR	Australia	396857	171210	24000	5837	45782	108	76	50	70	86
												
Halifax	YHZ	Canada	364700	120327	16511	-	-	109	81	62	-	-
												
Christchurch	CHC	New Zealand	341469	149783	25753	6016	71609	110	79	48	67	62
												
Utrecht	UTC	Europe	338967	1077662	77956	26877	215680	111	12	15	18	18
												
Eindhoven	EIN	Europe	224755	684701	32006	19845	167570	112	23	43	27	22
												
Hobart	HBA	Australia	222356	62479	10943	4142	21917	113	84	72	86	104
												
Tilburg	EHBK	Europe	212941	582446	21121	15197	96425	114	36	54	32	38
												
Groningen	GRQ	Europe	200952	324987	38645	23471	108158	115	62	35	20	32
												
Kielce	EPKA	Europe	196335	-	-	16741	63501	116	-	-	29	65
												
Darwin	DRW	Australia	136828	59853	9521	3486	19403	117	85	78	95	105
